Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
436,Vanguard Balanced Index Fund,0.69,1.27,55.15,6.11,2.32,13.58,17.58,14.22,0.07,0.07,63699000000.0,54.15,52.86,48.96 54.86,Nasdaq,Moderate Allocation,Vanguard,48.96,54.86
437,Vanguard Balanced Index Fund,0.7,1.29,55.16,6.03,2.29,13.46,17.44,14.09,0.07,0.07,63699000000.0,54.15,52.87,48.97 54.86,Nasdaq,Moderate Allocation,Vanguard,48.97,54.86
438,Nuveen Equity Index Premier,0.96,1.83,53.33,10.24,4.2,16.88,25.75,25.46,0.36,0.36,60657000000.0,51.48,48.46,43.64 52.37,Nasdaq,Large Blend,Nuveen,43.64,52.37
439,Nuveen Equity Index I,0.96,1.83,53.5,10.29,4.23,17.04,25.78,25.48,0.36,0.36,60657000000.0,51.64,48.6,43.77 52.54,Nasdaq,Large Blend,Nuveen,43.77,52.54
440,Nuveen Equity Index W,0.96,1.83,53.51,10.36,4.25,17.12,26.0,25.67,0.36,0.36,60657000000.0,51.64,48.6,43.76 52.55,Nasdaq,Large Blend,Nuveen,43.76,52.55
441,Nuveen Equity Index R6,0.96,1.83,53.48,10.32,4.23,17.07,25.91,25.63,0.36,0.36,60657000000.0,51.62,48.58,43.75 52.52,Nasdaq,Large Blend,Nuveen,43.75,52.52
442,Nuveen Equity Index A,0.98,1.83,54.49,10.16,4.17,16.74,25.6,25.28,0.36,0.36,60657000000.0,52.6,49.52,44.61 53.51,Nasdaq,Large Blend,Nuveen,44.61,53.51
443,Nuveen Equity Index R,0.97,1.82,54.3,10.17,4.18,16.77,25.59,25.27,0.36,0.36,60657000000.0,52.43,49.35,44.46 53.33,Nasdaq,Large Blend,Nuveen,44.46,53.33
444,iShares S&P 500 Index Investor A,15.79,1.79,898.96,9.89,4.1,17.45,25.84,28.23,0.03,0.03,59061000000.0,869.45,818.7,736.96 885.83,Nasdaq,Large Blend,Blackrock,736.96,885.83
445,iShares S&P 500 Index G,15.8,1.79,899.63,26.9,10.49,26.15,28.56,31.34,0.03,0.03,59061000000.0,870.17,819.34,737.52 886.70,Nasdaq,Large Blend,Blackrock,737.52,886.7
446,iShares S&P 500 Index Institutional,15.8,1.79,899.35,10.05,4.17,17.75,26.15,28.56,0.03,0.03,59061000000.0,869.88,819.08,737.28 886.37,Nasdaq,Large Blend,Blackrock,737.28,886.37
447,iShares S&P 500 Index Investor P,15.78,1.79,898.05,11.52,5.34,17.45,25.84,28.24,0.03,0.03,59061000000.0,868.57,817.88,736.23 884.94,Nasdaq,Large Blend,Blackrock,736.23,884.94
448,iShares S&P 500 Index Service,15.8,1.79,899.0,9.98,4.14,17.61,26.0,28.4,0.03,0.03,59061000000.0,869.51,818.75,737.03 885.94,Nasdaq,Large Blend,Blackrock,737.03,885.94
449,iShares S&P 500 Index K,15.81,1.79,899.64,11.73,5.42,17.83,26.24,28.65,0.03,0.03,59061000000.0,870.17,819.34,737.52 886.69,Nasdaq,Large Blend,Blackrock,737.52,886.69
450,Baird Aggregate Bond Inst,0.04,0.41,9.72,-0.51,-0.68,7.36,6.43,-1.46,0.55,0.55,57855000000.0,9.78,9.9,9.66 10.09,Nasdaq,Intermediate Core Bond,Baird,9.66,10.09
451,Baird Aggregate Bond Inv,0.04,0.4,10.14,-0.73,-0.71,7.1,6.13,-1.74,0.55,0.55,57855000000.0,10.21,10.33,10.08 10.51,Nasdaq,Intermediate Core Bond,Baird,10.08,10.51
452,American Funds 2035 Trgt Date Retire A,0.24,1.07,22.59,7.14,2.9,16.76,16.5,15.14,0.39,0.39,56631000000.0,22.17,21.63,20.08 22.41,Nasdaq,Target-Date 2035,Capital Group,20.08,22.41
453,American Funds 2035 Trgt Date Retire C,0.23,1.06,21.96,6.73,2.74,15.88,15.69,14.31,0.39,0.39,56631000000.0,21.56,21.05,19.57 21.79,Nasdaq,Target-Date 2035,Capital Group,19.57,21.79
454,American Funds 2035 Trgt Date Retire F-1,0.24,1.08,22.4,7.1,2.88,16.68,16.46,15.1,0.39,0.39,56631000000.0,21.98,21.45,19.91 22.22,Nasdaq,Target-Date 2035,Capital Group,19.91,22.22
455,American Funds 2035 Trgt Date Retire F-2,0.24,1.07,22.62,7.34,2.99,16.97,16.84,15.42,0.39,0.39,56631000000.0,22.19,21.64,20.09 22.43,Nasdaq,Target-Date 2035,Capital Group,20.09,22.43
456,American Fds 2035 Trgt Date Retire F-3,0.24,1.07,22.68,7.37,2.98,17.13,16.9,15.53,0.39,0.39,56631000000.0,22.25,21.7,20.14 22.49,Nasdaq,Target-Date 2035,Capital Group,20.14,22.49
457,American Funds 2035 Trgt Date Retire R-1,0.24,1.12,21.75,6.64,2.67,15.84,15.67,14.25,0.39,0.39,56631000000.0,21.35,20.85,19.38 21.58,Nasdaq,Target-Date 2035,Capital Group,19.38,21.58
458,American Funds 2035 Trgt Date RetireR-2E,0.23,1.06,22.0,6.87,2.79,16.18,15.96,14.64,0.39,0.39,56631000000.0,21.6,21.09,19.59 21.83,Nasdaq,Target-Date 2035,Capital Group,19.59,21.83
459,American Funds 2035 Trgt Date Retire R-2,0.23,1.06,21.83,6.67,2.71,15.84,15.64,14.3,0.39,0.39,56631000000.0,21.44,20.94,19.46 21.67,Nasdaq,Target-Date 2035,Capital Group,19.46,21.67
460,American Funds 2035 Trgt Date Retire R-3,0.24,1.09,22.22,6.91,2.81,16.38,16.18,14.79,0.39,0.39,56631000000.0,21.81,21.29,19.77 22.04,Nasdaq,Target-Date 2035,Capital Group,19.77,22.04
461,American Funds 2035 Trgt Date Retire R-4,0.24,1.08,22.54,7.16,2.91,16.7,16.46,15.13,0.39,0.39,56631000000.0,22.11,21.58,20.03 22.35,Nasdaq,Target-Date 2035,Capital Group,20.03,22.35
462,American Funds 2035 Trgt Date Retire R-5,0.25,1.1,22.9,7.3,2.95,17.07,16.83,15.41,0.39,0.39,56631000000.0,22.46,21.91,20.33 22.70,Nasdaq,Target-Date 2035,Capital Group,20.33,22.7
463,American Funds 2035 Trgt Date Retire R6,0.24,1.06,22.78,7.33,3.02,17.17,16.9,15.54,0.39,0.39,56631000000.0,22.35,21.8,20.23 22.59,Nasdaq,Target-Date 2035,Capital Group,20.23,22.59
464,American Funds 2035 Trgt Date RetireR-5E,0.24,1.08,22.55,7.26,2.95,16.93,16.75,15.36,0.39,0.39,56631000000.0,22.12,21.58,20.03 22.36,Nasdaq,Target-Date 2035,Capital Group,20.03,22.36
465,Vanguard Short Term Investment Grade Fund,0.02,0.19,10.35,0.86,0.25,6.87,6.2,-0.31,0.09,0.09,55452000000.0,10.37,10.46,10.31 10.56,Nasdaq,Short-Term Bond,Vanguard,10.31,10.56
466,Vanguard Short Term Investment Grade Fund,0.02,0.19,10.35,0.78,0.22,6.73,6.06,-0.43,0.09,0.09,55452000000.0,10.37,10.46,10.31 10.56,Nasdaq,Short-Term Bond,Vanguard,10.31,10.56
467,Vanguard Short Term Investment Grade Fund,0.02,0.19,10.35,0.84,0.24,6.85,6.17,-0.33,0.09,0.09,55452000000.0,10.37,10.46,10.31 10.56,Nasdaq,Short-Term Bond,Vanguard,10.31,10.56
468,Fidelity Select Semiconductors,3.28,5.48,63.17,49.23,2.37,42.9,78.14,59.19,0.6,0.6,54435000000.0,66.21,52.93,36.72 74.81,Nasdaq,Technology,Fidelity Investments,36.72,74.81
469,American Funds 2040 Trgt Date Retire A,0.33,1.32,25.33,8.84,3.61,19.15,18.95,16.46,0.41,0.41,54053000000.0,24.79,23.93,21.87 25.12,Nasdaq,Target-Date 2040,Capital Group,21.87,25.12
470,American Funds 2040 Trgt Date Retire C,0.31,1.28,24.57,8.4,3.45,18.26,18.1,15.56,0.41,0.41,54053000000.0,24.07,23.26,21.27 24.38,Nasdaq,Target-Date 2040,Capital Group,21.27,24.38
471,American Funds 2040 Trgt Date Retire F-1,0.32,1.29,25.09,8.83,3.6,19.06,18.94,16.38,0.41,0.41,54053000000.0,24.56,23.72,21.67 24.89,Nasdaq,Target-Date 2040,Capital Group,21.67,24.89
472,American Funds 2040 Trgt Date Retire F-2,0.33,1.32,25.35,8.97,3.69,19.41,19.24,16.74,0.41,0.41,54053000000.0,24.8,23.95,21.87 25.13,Nasdaq,Target-Date 2040,Capital Group,21.87,25.13
473,American Fds 2040 Trgt Date Retire F-3,0.32,1.27,25.44,9.08,3.72,19.55,19.35,16.84,0.41,0.41,54053000000.0,24.89,24.03,21.95 25.22,Nasdaq,Target-Date 2040,Capital Group,21.95,25.22
474,American Funds 2040 Trgt Date Retire R-1,0.32,1.32,24.52,8.33,3.42,18.27,18.06,15.52,0.41,0.41,54053000000.0,24.01,23.21,21.23 24.33,Nasdaq,Target-Date 2040,Capital Group,21.23,24.33
475,American Funds 2040 Trgt Date RetireR-2E,0.31,1.27,24.7,8.54,3.52,18.55,18.45,15.82,0.41,0.41,54053000000.0,24.19,23.37,21.37 24.51,Nasdaq,Target-Date 2040,Capital Group,21.37,24.51
476,American Funds 2040 Trgt Date Retire R-2,0.31,1.29,24.43,8.36,3.43,18.2,18.07,15.5,0.41,0.41,54053000000.0,23.93,23.13,21.16 24.25,Nasdaq,Target-Date 2040,Capital Group,21.16,24.25
477,American Funds 2040 Trgt Date Retire R-3,0.32,1.3,24.93,8.65,3.53,18.75,18.59,16.05,0.41,0.41,54053000000.0,24.41,23.58,21.55 24.73,Nasdaq,Target-Date 2040,Capital Group,21.55,24.73
478,American Funds 2040 Trgt Date Retire R-4,0.32,1.28,25.27,8.86,3.61,19.08,18.98,16.38,0.41,0.41,54053000000.0,24.73,23.88,21.83 25.06,Nasdaq,Target-Date 2040,Capital Group,21.83,25.06
479,American Funds 2040 Trgt Date Retire R-5,0.33,1.3,25.68,9.03,3.68,19.46,19.31,16.7,0.41,0.41,54053000000.0,25.13,24.25,22.16 25.46,Nasdaq,Target-Date 2040,Capital Group,22.16,25.46
480,American Funds 2040 Trgt Date Retire R6,0.33,1.31,25.56,9.03,3.7,19.5,19.33,16.83,0.41,0.41,54053000000.0,25.01,24.14,22.05 25.34,Nasdaq,Target-Date 2040,Capital Group,22.05,25.34
481,American Funds 2040 Trgt Date RetireR-5E,0.32,1.28,25.26,9.0,3.7,19.35,19.24,16.57,0.41,0.41,54053000000.0,24.72,23.86,21.80 25.05,Nasdaq,Target-Date 2040,Capital Group,21.8,25.05
482,PGIM Total Return Bond Fund,0.05,0.42,11.94,-0.47,-0.8,7.11,7.1,-1.81,1.28,1.28,53876000000.0,12.02,12.16,11.86 12.39,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.86,12.39
483,PGIM Total Return Bond Fund,0.05,0.42,11.91,-0.41,-0.82,7.48,7.37,-1.57,1.28,1.28,53876000000.0,11.99,12.14,11.84 12.37,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.84,12.37
484,PGIM Total Return Bond Fund,0.05,0.42,11.9,-0.77,-0.92,6.61,6.59,-2.21,1.28,1.28,53876000000.0,11.98,12.13,11.82 12.35,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.82,12.35
485,PGIM Total Return Bond Fund,0.05,0.42,11.88,-0.5,-0.86,7.34,7.24,-1.64,1.28,1.28,53876000000.0,11.96,12.11,11.81 12.33,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.81,12.33
486,PGIM Total Return Bond Fund,0.05,0.42,11.89,-0.27,-0.71,7.52,7.51,-1.4,1.28,1.28,53876000000.0,11.97,12.11,11.81 12.34,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.81,12.34
487,PGIM Total Return Bond Fund,0.05,0.42,11.87,-0.19,-0.68,7.69,7.67,-1.25,1.28,1.28,53876000000.0,11.95,12.1,11.80 12.32,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.8,12.32
488,PGIM Total Return Bond R6,0.05,0.42,11.89,-0.38,-0.79,7.79,7.78,-1.15,1.28,1.28,53876000000.0,11.97,12.11,11.81 12.34,Nasdaq,Intermediate Core-Plus Bond,Pgim,11.81,12.34
489,Goldman Sachs Trust II - Goldman Sachs GQG Partners International Opportunities Fund,-0.06,-0.25,24.09,8.2,0.21,20.82,21.28,12.52,0.79,0.79,53733000000.0,23.86,23.51,22.16 24.82,Nasdaq,Foreign Large Growth,Goldman Sachs,22.16,24.82
490,Goldman Sachs GQG Ptnrs Intl Opps A,-0.06,-0.25,23.87,7.94,0.12,20.42,20.79,11.99,0.79,0.79,53733000000.0,23.65,23.31,22.01 24.64,Nasdaq,Foreign Large Growth,Goldman Sachs,22.01,24.64
491,Goldman Sachs GQG Ptnrs Intl Opps C,-0.05,-0.22,23.0,7.46,-0.09,19.49,19.88,11.21,0.79,0.79,53733000000.0,22.81,22.5,21.31 23.82,Nasdaq,Foreign Large Growth,Goldman Sachs,21.31,23.82
492,Goldman Sachs GQG Ptnrs Intl Opps Instl,-0.05,-0.21,24.11,8.14,0.21,20.84,21.25,12.49,0.79,0.79,53733000000.0,23.87,23.52,22.17 24.84,Nasdaq,Foreign Large Growth,Goldman Sachs,22.17,24.84
493,Goldman Sachs GQG Ptnrs Intl Opps Inv,-0.06,-0.25,23.99,8.09,0.21,20.75,21.08,12.34,0.79,0.79,53733000000.0,23.76,23.42,22.08 24.73,Nasdaq,Foreign Large Growth,Goldman Sachs,22.08,24.73
494,Goldman Sachs GQG Ptnrs Intl Opps R,-0.05,-0.21,23.43,7.8,0.04,20.08,20.5,11.8,0.79,0.79,53733000000.0,23.22,22.89,21.63 24.21,Nasdaq,Foreign Large Growth,Goldman Sachs,21.63,24.21
495,Goldman Sachs GQG Ptnrs Intl Opps R6,-0.05,-0.21,24.1,8.15,0.21,20.88,21.21,12.45,0.79,0.79,53733000000.0,23.86,23.51,22.16 24.83,Nasdaq,Foreign Large Growth,Goldman Sachs,22.16,24.83
496,Vanguard Russell 1000 Growth Index I,26.74,2.79,983.99,0.3,-0.64,18.49,42.65,27.52,0.06,0.06,53361000000.0,966.54,933.24,"813.28 1,019.49",Nasdaq,Large Growth,Vanguard,813.28,20.15
497,Fidelity Mid Cap Index,0.71,1.66,43.58,14.62,5.4,10.57,17.21,22.56,0.03,0.03,53226000000.0,41.93,39.11,35.33 42.87,Nasdaq,Mid-Cap Blend,Fidelity Investments,35.33,42.87
498,JPMorgan Core Bond Fund,0.04,0.4,10.14,-0.81,-0.9,7.05,5.35,-1.46,1.1,1.1,53144000000.0,10.21,10.35,10.08 10.53,Nasdaq,Intermediate Core Bond,Jpmorgan,10.08,10.53
499,JPMorgan Core Bond Fund,0.04,0.4,10.15,-0.66,-0.84,7.2,5.56,-1.17,1.1,1.1,53144000000.0,10.22,10.36,10.09 10.55,Nasdaq,Intermediate Core Bond,Jpmorgan,10.09,10.55
500,JPMorgan Core Bond Fund,0.04,0.4,10.15,-0.58,-0.8,7.36,5.76,-0.97,1.1,1.1,53144000000.0,10.22,10.36,10.09 10.55,Nasdaq,Intermediate Core Bond,Jpmorgan,10.09,10.55
501,JPMorgan Core Bond Fund,0.04,0.39,10.19,-0.52,-0.77,7.54,5.85,-0.95,1.1,1.1,53144000000.0,10.26,10.4,10.13 10.59,Nasdaq,Intermediate Core Bond,Jpmorgan,10.13,10.59
502,JPMorgan Core Bond Fund,0.04,0.4,10.16,-1.05,-0.96,6.75,5.05,-1.71,1.1,1.1,53144000000.0,10.23,10.37,10.10 10.56,Nasdaq,Intermediate Core Bond,Jpmorgan,10.1,10.56
503,JPMorgan Core Bond C,0.04,0.39,10.28,-1.04,-0.99,6.53,4.74,-1.87,1.1,1.1,53144000000.0,10.35,10.49,10.22 10.68,Nasdaq,Intermediate Core Bond,Jpmorgan,10.22,10.68
504,JPMorgan Core Bond Fund,0.04,0.39,10.18,-0.75,-0.87,7.1,5.42,-1.36,1.1,1.1,53144000000.0,10.25,10.39,10.12 10.58,Nasdaq,Intermediate Core Bond,Jpmorgan,10.12,10.58
505,JPMorgan Core Bond I,0.04,0.39,10.17,-0.61,-0.81,7.38,5.79,-1.12,1.1,1.1,53144000000.0,10.24,10.38,10.11 10.57,Nasdaq,Intermediate Core Bond,Jpmorgan,10.11,10.57
506,Putnam Large Cap Value Fund,0.36,0.8,45.59,15.86,8.72,20.34,15.64,27.18,1.1,1.1,52705000000.0,43.57,41.16,36.74 45.23,Nasdaq,Large Value,Franklin Templeton Investments,36.74,45.23
507,Putnam Large Cap Value Fund,0.35,0.79,44.67,15.19,8.47,19.17,14.48,25.91,1.1,1.1,52705000000.0,42.65,40.32,36.05 44.32,Nasdaq,Large Value,Franklin Templeton Investments,36.05,44.32
508,Putnam Large Cap Value Fund,0.36,0.8,45.63,15.07,7.73,20.3,15.62,27.17,1.1,1.1,52705000000.0,43.6,41.19,36.77 45.27,Nasdaq,Large Value,Franklin Templeton Investments,36.77,45.27
509,Putnam Large Cap Value Fund,0.36,0.81,44.99,15.52,8.6,19.75,15.1,26.54,1.1,1.1,52705000000.0,42.98,40.62,36.29 44.63,Nasdaq,Large Value,Franklin Templeton Investments,36.29,44.63
510,Putnam Large Cap Value Fund,0.36,0.8,45.62,15.12,7.75,20.46,15.75,27.33,1.1,1.1,52705000000.0,43.59,41.18,36.76 45.26,Nasdaq,Large Value,Franklin Templeton Investments,36.76,45.26
511,Putnam Large Cap Value Fund,0.36,0.8,45.58,15.7,8.65,20.05,15.4,26.84,1.1,1.1,52705000000.0,43.55,41.14,36.73 45.22,Nasdaq,Large Value,Franklin Templeton Investments,36.73,45.22
512,Vanguard Intermediate-Term Bond Index Fund,0.04,0.39,10.26,-1.02,-0.86,8.46,5.99,-2.44,0.03,0.03,52511000000.0,10.31,10.47,10.20 10.68,Nasdaq,Intermediate Core Bond,Vanguard,10.2,10.68
513,Vanguard Intermediate-Term Bond Index Fund,0.04,0.39,10.26,-0.97,-0.84,8.56,6.07,-2.36,0.03,0.03,52511000000.0,10.31,10.47,10.20 10.68,Nasdaq,Intermediate Core Bond,Vanguard,10.2,10.68
514,Vanguard Intermediate-Term Bond Index Fund,0.04,0.39,10.26,-0.96,-0.83,8.58,6.09,-2.34,0.03,0.03,52511000000.0,10.31,10.47,10.20 10.68,Nasdaq,Intermediate Core Bond,Vanguard,10.2,10.68
515,Vanguard Intermediate-Term Bond Index Fund,0.04,0.39,10.26,-0.95,-0.83,8.58,6.1,-2.33,0.03,0.03,52511000000.0,10.31,10.47,10.20 10.68,Nasdaq,Intermediate Core Bond,Vanguard,10.2,10.68
516,American Funds 2030 Trgt Date Retire A,0.19,0.96,19.98,6.0,2.38,15.39,14.08,12.74,0.38,0.38,52196000000.0,19.65,19.31,18.11 19.88,Nasdaq,Target-Date 2030,Capital Group,18.11,19.88
517,American Funds 2030 Trgt Date Retire C,0.18,0.94,19.42,5.6,2.18,14.48,13.28,11.93,0.38,0.38,52196000000.0,19.12,18.8,17.65 19.30,Nasdaq,Target-Date 2030,Capital Group,17.65,19.3
518,American Funds 2030 Trgt Date Retire F-1,0.18,0.92,19.77,6.01,2.35,15.32,14.03,12.69,0.38,0.38,52196000000.0,19.45,19.12,17.92 19.69,Nasdaq,Target-Date 2030,Capital Group,17.92,19.69
519,American Funds 2030 Trgt Date Retire F-2,0.18,0.91,19.98,6.17,2.43,15.67,14.36,13.02,0.38,0.38,52196000000.0,19.66,19.31,18.10 19.91,Nasdaq,Target-Date 2030,Capital Group,18.1,19.91
520,American Fds 2030 Trgt Date Retire F-3,0.19,0.96,20.05,6.2,2.42,15.78,14.5,13.07,0.38,0.38,52196000000.0,19.72,19.37,18.15 19.97,Nasdaq,Target-Date 2030,Capital Group,18.15,19.97
521,American Funds 2030 Trgt Date Retire R-1,0.18,0.93,19.53,5.56,2.16,14.46,13.21,11.83,0.38,0.38,52196000000.0,19.23,18.91,17.75 19.40,Nasdaq,Target-Date 2030,Capital Group,17.75,19.4
522,American Funds 2030 Trgt Date RetireR-2E,0.17,0.88,19.5,5.74,2.28,14.84,13.57,12.21,0.38,0.38,52196000000.0,19.2,18.88,17.71 19.40,Nasdaq,Target-Date 2030,Capital Group,17.71,19.4
523,American Funds 2030 Trgt Date Retire R-2,0.18,0.94,19.34,5.56,2.19,14.46,13.19,11.94,0.38,0.38,52196000000.0,19.04,18.73,17.58 19.23,Nasdaq,Target-Date 2030,Capital Group,17.58,19.23
524,American Funds 2030 Trgt Date Retire R-3,0.18,0.92,19.68,5.86,2.31,14.99,13.7,12.41,0.38,0.38,52196000000.0,19.37,19.04,17.86 19.58,Nasdaq,Target-Date 2030,Capital Group,17.86,19.58
525,American Funds 2030 Trgt Date Retire R-4,0.18,0.91,19.94,6.07,2.38,15.32,14.1,12.66,0.38,0.38,52196000000.0,19.62,19.28,18.08 19.84,Nasdaq,Target-Date 2030,Capital Group,18.08,19.84
526,American Funds 2030 Trgt Date Retire R-5,0.18,0.9,20.24,6.25,2.45,15.69,14.38,13.04,0.38,0.38,52196000000.0,19.91,19.56,18.33 20.15,Nasdaq,Target-Date 2030,Capital Group,18.33,20.15
527,American Funds 2030 Trgt Date Retire R6,0.18,0.9,20.13,6.29,2.47,15.72,14.52,13.16,0.38,0.38,52196000000.0,19.8,19.45,18.23 20.05,Nasdaq,Target-Date 2030,Capital Group,18.23,20.05
528,American Funds 2030 Trgt Date RetireR-5E,0.18,0.91,19.92,6.13,2.44,15.56,14.26,12.96,0.38,0.38,52196000000.0,19.6,19.26,18.05 19.85,Nasdaq,Target-Date 2030,Capital Group,18.05,19.85
529,American Funds New Economy A,1.85,2.19,86.37,16.34,5.95,31.07,29.07,11.92,0.51,0.51,51804000000.0,86.16,78.36,66.48 90.09,Nasdaq,Global Large-Stock Growth,Capital Group,66.48,90.09
530,American Funds New Economy C,1.44,2.18,67.48,15.82,5.75,30.1,28.1,11.09,0.51,0.51,51804000000.0,67.37,61.74,52.08 70.45,Nasdaq,Global Large-Stock Growth,Capital Group,52.08,70.45
531,American Funds New Economy F-1,1.85,2.18,86.6,16.29,5.94,31.02,29.02,11.86,0.51,0.51,51804000000.0,86.4,78.59,66.68 90.34,Nasdaq,Global Large-Stock Growth,Capital Group,66.68,90.34
532,American Funds New Economy 529-A,1.82,2.19,84.76,16.31,5.94,31.04,29.04,11.9,0.51,0.51,51804000000.0,84.56,76.94,65.25 88.41,Nasdaq,Global Large-Stock Growth,Capital Group,65.25,88.41
533,American Funds New Economy 529-C,1.47,2.18,68.77,15.77,5.73,30.03,28.04,11.06,0.51,0.51,51804000000.0,68.66,62.91,53.09 71.80,Nasdaq,Global Large-Stock Growth,Capital Group,53.09,71.8
534,American Funds New Economy 529-E,1.74,2.18,81.4,16.14,5.87,30.71,28.73,11.62,0.51,0.51,51804000000.0,81.23,74.02,62.72 84.94,Nasdaq,Global Large-Stock Growth,Capital Group,62.72,84.94
535,American Funds New Economy 529-F-2,1.87,2.2,87.01,25.88,9.64,29.51,12.28,26.85,0.51,0.51,51804000000.0,86.78,78.87,66.93 90.73,Nasdaq,Global Large-Stock Growth,Capital Group,66.93,90.73
536,American Fds New Economy F-3,1.88,2.19,87.59,16.53,6.02,31.51,29.53,12.3,0.51,0.51,51804000000.0,87.35,79.35,67.35 91.33,Nasdaq,Global Large-Stock Growth,Capital Group,67.35,91.33
537,American Funds New Economy 529-F-3,1.86,2.18,87.03,25.88,9.64,29.51,12.28,26.85,0.51,0.51,51804000000.0,86.8,78.88,66.94 90.76,Nasdaq,Global Large-Stock Growth,Capital Group,66.94,90.76
538,American Funds New Economy F-2,1.86,2.19,86.97,16.46,6.0,31.37,29.39,12.18,0.51,0.51,51804000000.0,86.75,78.84,66.90 90.70,Nasdaq,Global Large-Stock Growth,Capital Group,66.9,90.7
539,American Funds New Economy R-1,1.53,2.19,71.34,15.79,5.72,30.09,28.14,11.08,0.51,0.51,51804000000.0,71.23,65.19,55.06 74.48,Nasdaq,Global Large-Stock Growth,Capital Group,55.06,74.48
540,American Funds New Economy R-2,1.54,2.18,72.04,15.8,5.73,30.07,28.13,11.07,0.51,0.51,51804000000.0,71.93,65.82,55.61 75.22,Nasdaq,Global Large-Stock Growth,Capital Group,55.61,75.22
541,American Funds New Economy R-3,1.74,2.18,81.48,16.1,5.85,30.67,28.7,11.57,0.51,0.51,51804000000.0,81.31,74.11,62.79 85.03,Nasdaq,Global Large-Stock Growth,Capital Group,62.79,85.03
542,American Funds New Economy R-4,1.82,2.19,85.04,16.29,5.93,31.05,29.07,11.9,0.51,0.51,51804000000.0,84.84,77.2,65.47 88.71,Nasdaq,Global Large-Stock Growth,Capital Group,65.47,88.71
543,American Funds New Economy R-5,1.89,2.19,88.18,16.51,6.02,31.42,29.48,12.25,0.51,0.51,51804000000.0,87.94,79.89,67.82 91.95,Nasdaq,Global Large-Stock Growth,Capital Group,67.82,91.95
544,American Funds New Economy R-6,1.88,2.19,87.74,16.53,6.03,31.51,29.51,12.28,0.51,0.51,51804000000.0,87.5,79.49,67.47 91.49,Nasdaq,Global Large-Stock Growth,Capital Group,67.47,91.49
545,American Funds New Economy R-5E,1.85,2.19,86.25,16.41,5.98,31.32,29.35,12.12,0.51,0.51,51804000000.0,86.03,78.22,66.36 89.96,Nasdaq,Global Large-Stock Growth,Capital Group,66.36,89.96
546,American Funds New Economy R-2E,1.74,2.19,81.11,15.99,5.81,30.46,28.52,11.38,0.51,0.51,51804000000.0,80.96,73.82,62.54 84.66,Nasdaq,Global Large-Stock Growth,Capital Group,62.54,84.66
547,Vanguard Short-Term Corp Bd Idx Admiral,0.05,0.23,21.4,0.79,0.31,6.75,6.15,-0.43,0.03,0.03,51787000000.0,21.45,21.62,21.35 21.84,Nasdaq,Short-Term Bond,Vanguard,21.35,21.84
548,Vanguard Short-Term Corp Bd Idx I,0.05,0.19,26.19,0.83,0.31,6.75,6.21,-0.41,0.03,0.03,51787000000.0,26.26,26.46,26.14 26.73,Nasdaq,Short-Term Bond,Vanguard,26.14,26.73
549,MFS Value A,0.33,0.6,55.6,10.91,4.95,12.87,7.89,25.08,0.45,0.45,51008000000.0,53.33,52.09,49.27 55.27,Nasdaq,Large Value,Mfs,49.27,55.27
550,MFS Value C,0.32,0.59,54.76,10.44,4.75,12.01,7.11,24.16,0.45,0.45,51008000000.0,52.52,51.32,48.56 54.44,Nasdaq,Large Value,Mfs,48.56,54.44
551,MFS Value R1,0.32,0.6,54.0,10.41,4.74,12.02,7.09,24.16,0.45,0.45,51008000000.0,51.79,50.63,47.89 53.68,Nasdaq,Large Value,Mfs,47.89,53.68
552,MFS Value R3,0.33,0.6,55.26,10.9,4.93,12.86,7.92,25.08,0.45,0.45,51008000000.0,53.0,51.78,48.96 54.93,Nasdaq,Large Value,Mfs,48.96,54.93
553,MFS Value I,0.33,0.59,56.08,11.07,5.01,13.16,8.18,25.4,0.45,0.45,51008000000.0,53.79,52.53,49.68 55.75,Nasdaq,Large Value,Mfs,49.68,55.75
554,MFS Value R4,0.33,0.6,55.59,11.06,5.01,13.16,8.17,25.42,0.45,0.45,51008000000.0,53.32,52.08,49.24 55.26,Nasdaq,Large Value,Mfs,49.24,55.26
555,MFS Value R6,0.33,0.6,55.56,11.15,5.05,13.27,8.29,25.55,0.45,0.45,51008000000.0,53.29,52.06,49.21 55.23,Nasdaq,Large Value,Mfs,49.21,55.23
556,MFS Value B,0.33,0.6,55.64,10.44,4.75,12.02,7.1,24.17,0.45,0.45,51008000000.0,53.35,52.1,49.32 55.31,Nasdaq,Large Value,Mfs,49.32,55.31
557,MFS Value R2,0.32,0.59,54.75,10.76,4.88,12.57,7.65,24.79,0.45,0.45,51008000000.0,52.52,51.32,48.54 54.43,Nasdaq,Large Value,Mfs,48.54,54.43
