Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
9733,Alger Small Cap Focus C,0.54,2.56,21.6,14.94,14.17,6.12,8.98,-14.85,1.22,1.22,912213000.0,20.23,18.58,15.67 21.62,Nasdaq,Small Growth,Alger,15.67,21.62
9734,Alger Small Cap Focus I,0.65,2.53,26.3,15.47,14.41,6.96,9.88,-14.2,1.22,1.22,912213000.0,24.61,22.55,19.02 26.31,Nasdaq,Small Growth,Alger,19.02,26.31
9735,Alger Small Cap Focus Y,0.68,2.55,27.33,15.72,14.54,7.41,10.35,-13.95,1.22,1.22,912213000.0,25.57,23.4,19.74 27.33,Nasdaq,Small Growth,Alger,19.74,27.33
9736,Virtus AlphaSimplex Mgd Futs Strat A,-0.01,-0.12,8.32,9.32,-3.14,-9.75,-10.59,3.3,1.43,1.43,911390000.0,8.45,8.09,7.06 8.87,Nasdaq,Systematic Trend,Virtus,7.06,8.87
9737,Virtus AlphaSimplex Mgd Futs Strat R6,-0.01,-0.12,8.43,9.61,-2.99,-9.51,-10.33,3.63,1.43,1.43,911390000.0,8.56,8.2,7.19 8.98,Nasdaq,Systematic Trend,Virtus,7.19,8.98
9738,Virtus AlphaSimplex Mgd Futs Strat C,-0.01,-0.13,7.59,8.88,-3.31,-10.51,-11.24,2.54,1.43,1.43,911390000.0,7.71,7.4,6.47 8.11,Nasdaq,Systematic Trend,Virtus,6.47,8.11
9739,Virtus AlphaSimplex Mgd Futs Strat I,-0.02,-0.24,8.46,9.56,-2.97,-9.67,-10.32,3.53,1.43,1.43,911390000.0,8.59,8.22,7.15 9.03,Nasdaq,Systematic Trend,Virtus,7.15,9.03
9740,NYLI Growth Allocation Class A,0.27,1.51,18.12,10.66,4.26,12.37,15.01,16.4,1.25,1.25,910017000.0,17.66,16.89,15.49 17.89,Nasdaq,Global Moderately Aggressive Allocation,New York Life Investment Management Llc,15.49,17.89
9741,NYLI Growth Allocation Class C,0.27,1.54,17.81,9.97,3.97,11.34,13.88,15.38,1.25,1.25,910017000.0,17.38,16.62,15.27 17.60,Nasdaq,Global Moderately Aggressive Allocation,New York Life Investment Management Llc,15.27,17.6
9742,NYLI Growth Allocation Class I,0.28,1.54,18.46,10.79,4.3,12.7,15.3,16.67,1.25,1.25,910017000.0,17.98,17.19,15.76 18.21,Nasdaq,Global Moderately Aggressive Allocation,New York Life Investment Management Llc,15.76,18.21
9743,NYLI Growth Allocation Investor Class,0.28,1.56,18.18,10.43,4.19,12.18,14.75,16.22,1.25,1.25,910017000.0,17.72,16.95,15.55 17.95,Nasdaq,Global Moderately Aggressive Allocation,New York Life Investment Management Llc,15.55,17.95
9744,NYLI Growth Allocation SIMPLE Class,0.28,1.57,18.15,13.22,6.54,14.52,16.02,20.71,1.25,1.25,910017000.0,17.69,16.92,15.52 17.92,Nasdaq,Global Moderately Aggressive Allocation,New York Life Investment Management Llc,15.52,17.92
9745,Putnam Diversified Income Trust,0.02,0.4,5.0,1.48,0.17,8.58,4.55,-6.93,1.24,1.24,909670000.0,5.01,5.03,4.95 5.10,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.95,5.1
9746,Putnam Diversified Income Trust,0.02,0.41,4.84,1.09,-0.01,7.81,3.9,-7.64,1.24,1.24,909670000.0,4.85,4.87,4.80 4.95,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.8,4.95
9747,Putnam Diversified Income Trust,0.02,0.41,4.89,1.51,0.26,9.17,5.09,-6.67,1.24,1.24,909670000.0,4.9,4.93,4.85 5.00,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.85,5.0
9748,Putnam Diversified Income Trust,0.02,0.42,4.81,1.19,0.12,8.41,4.44,-7.13,1.24,1.24,909670000.0,4.82,4.85,4.77 4.92,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.77,4.92
9749,Putnam Diversified Income Trust,0.01,0.21,4.87,1.38,0.12,8.53,4.41,-7.08,1.24,1.24,909670000.0,4.88,4.91,4.83 4.98,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.83,4.98
9750,Putnam Diversified Income Trust,0.01,0.2,4.92,1.65,0.44,8.98,5.03,-6.8,1.24,1.24,909670000.0,4.93,4.96,4.88 5.03,Nasdaq,Multisector Bond,Franklin Templeton Investments,4.88,5.03
9751,PGIM Jennison Natural Resources R,1.1,1.41,79.07,13.96,-7.07,38.24,-2.41,26.94,1.77,1.77,908188000.0,79.33,76.13,55.19 86.43,Nasdaq,Natural Resources,Pgim,55.19,86.43
9752,PGIM Jennison Natural Resources Fund,1.13,1.42,80.8,14.14,-7.0,38.59,-2.18,27.23,1.77,1.77,908188000.0,81.03,77.74,56.37 88.26,Nasdaq,Natural Resources,Pgim,56.37,88.26
9753,PGIM Jennison Natural Resources R6,1.19,1.41,85.85,14.55,-7.49,39.21,-1.73,27.86,1.77,1.77,908188000.0,86.07,82.52,59.83 93.71,Nasdaq,Natural Resources,Pgim,59.83,93.71
9754,PGIM Jennison Natural Resources C,0.85,1.4,61.77,13.64,-7.18,37.54,-2.88,26.34,1.77,1.77,908188000.0,62.01,59.59,43.31 67.60,Nasdaq,Natural Resources,Pgim,43.31,67.6
9755,PGIM Jennison Natural Resources Z,1.18,1.41,85.08,14.35,-6.92,39.07,-1.82,27.69,1.77,1.77,908188000.0,85.3,81.79,59.29 92.88,Nasdaq,Natural Resources,Pgim,59.29,92.88
9756,DFA CA Short-Term Municipal Bond I,0.01,0.1,10.21,1.14,0.5,2.96,2.73,-0.15,0.2,0.2,907574000.0,10.22,10.23,10.20 10.28,Nasdaq,Muni Single State Short,Dimensional Fund Advisors,10.2,10.28
9757,Westwood Quality SmallCap Fund A,0.32,1.44,22.56,11.81,9.88,-12.46,2.16,-14.16,1.06,1.06,906152000.0,21.65,20.62,19.04 22.52,Nasdaq,Small Blend,Westwood,19.04,22.52
9758,Westwood Quality SmallCap Fund C,0.32,1.47,22.11,11.81,9.88,-12.46,2.16,-14.16,1.06,1.06,906152000.0,21.23,20.23,18.69 22.09,Nasdaq,Small Blend,Westwood,18.69,22.09
9759,Westwood Quality SmallCap Fund Inst,0.33,1.48,22.65,15.34,2.8,-0.06,17.17,27.93,1.06,1.06,906152000.0,21.73,20.69,19.10 22.61,Nasdaq,Small Blend,Westwood,19.1,22.61
9760,Westwood Quality SmallCap Fund Ultra,0.32,1.43,22.67,11.81,9.88,-12.46,2.16,-14.16,1.06,1.06,906152000.0,21.75,20.71,19.10 22.63,Nasdaq,Small Blend,Westwood,19.1,22.63
9761,American Century One Choice Agrsv Inv,0.18,0.98,18.62,9.14,4.2,14.72,15.15,13.88,0.93,0.93,905790000.0,18.32,17.87,16.35 18.64,Nasdaq,Global Moderately Aggressive Allocation,American Century Investments,16.35,18.64
9762,American Century Investments One Choice Portfolio: Aggressive,0.18,0.98,18.61,8.83,4.08,14.18,14.55,13.36,0.93,0.93,905790000.0,18.32,17.87,16.37 18.61,Nasdaq,Global Moderately Aggressive Allocation,American Century Investments,16.37,18.61
9763,Nationwide International Index A,0.14,1.22,11.64,11.85,5.27,31.04,17.02,10.62,1.11,1.11,905186000.0,11.26,10.92,10.00 11.53,Nasdaq,Foreign Large Blend,Nationwide,10.0,11.53
9764,Nationwide International Index R,0.14,1.22,11.6,11.6,5.21,30.59,16.65,10.28,1.11,1.11,905186000.0,11.22,10.88,9.97 11.49,Nasdaq,Foreign Large Blend,Nationwide,9.97,11.49
9765,Nationwide International Index R6,0.14,1.21,11.74,12.06,5.42,31.54,17.61,11.07,1.11,1.11,905186000.0,11.36,11.01,10.08 11.63,Nasdaq,Foreign Large Blend,Nationwide,10.08,11.63
9766,Nationwide International Index Instl Svc,0.14,1.21,11.72,11.95,5.3,31.28,17.38,10.86,1.11,1.11,905186000.0,11.34,10.99,10.07 11.61,Nasdaq,Foreign Large Blend,Nationwide,10.07,11.61
9767,Fidelity Series Corporate Bond,0.04,0.44,9.23,-0.37,-0.59,8.16,9.06,-0.98,0.0,0.0,904851000.0,9.3,9.42,9.16 9.62,Nasdaq,Corporate Bond,Fidelity Investments,9.16,9.62
9768,Nuveen Lifecycle 2015 Premier,0.07,0.71,9.98,4.01,1.23,11.55,11.07,7.56,0.57,0.57,904672000.0,9.86,9.75,9.27 10.06,Nasdaq,Target-Date 2015,Nuveen,9.27,10.06
